gene.x,gene.y,weight.AF_confidence
VIRMA,WTAP,0.642
WDR48,ZNF768,0.634
SMARCB1,SMARCC2,0.5788
MED12,MED13L,0.629
AP2M1,PRR12,0.568
CBR4,NR3C2,0.568
GEMIN5,GIGYF1,0.618
KDM1A,MYT1L,0.598
MAP1A,POLDIP2,0.566
NDC1,NUP155,0.646
PFDN4,TRAF7,0.606
PISD,UBR1,0.66
ACADSB,NUBPL,0.656
AHCYL1,RBM10,0.586
ANP32E,RAE1,0.624
AP2A1,CRTAP,0.61
AP2M1,P3H4,0.614
AP2M1,USP9X,0.636
AP2S1,PDCD11,0.582
ARID4B,HDAC2,0.58
ASH2L,DPY30,0.61
BAG5,PRPF31,0.626
BBX,HDAC1,0.586
CEP164,POLDIP2,0.568
CEP170,NDUFAF3,0.558
CHD1,KPNA6,0.586
CKAP5,CORO1B,0.584
CLUAP1,IFT88,0.614
COA7,PFDN5,0.646
CPSF3,WDR33,0.598
CRTAP,NCOA2,0.572
CRTAP,NCOR1,0.568
CRTAP,SCRIB,0.574
CTSA,WDR26,0.616
CUL2,PDCD7,0.63
DCAF7,NCOR2,0.566
DCAF7,SLC30A9,0.596
DDB1,FARP2,0.612
DDB1,TROAP,0.62
DDX20,PPP2R2D,0.61
EDC4,YWHAH,0.58
EFTUD2,SCAF1,0.6
ELP1,POLD1,0.638
EPB41L2,IDE,0.618
FOXK1,RBBP7,0.602
GABARAP,PPP1R9B,0.562
GABARAPL2,NOL10,0.598
GABARAPL2,NUMA1,0.556
GABARAPL2,SVIL,0.576
GID8,MKLN1,0.634
GLB1,MRE11,0.638
GNAI1,RAI14,0.576
HDAC2,LEMD2,0.602
HIP1,IDE,0.618
ID3,TCF3,0.558
IFIT5,TIMM9,0.676
KPNA1,SUPT16H,0.584
KPNA2,NKTR,0.578
KPNA4,PDS5B,0.622
KPNA5,RBM15B,0.588
MCAT,PIGT,0.62
NCBP2,XRN1,0.626
NCKAP1,RBM6,0.616
NEFM,POC1A,0.582
NPEPPS,NUP133,0.612
NUMA1,PGD,0.576
P3H1,P3H3,0.626
P4HA1,TNRC6A,0.576
PKP4,SPIN1,0.59
PLOD3,POM121C,0.598
PPIC,TRIM33,0.56
PRKCI,YWHAH,0.596
PRPF4,SNRNP200,0.64
RBBP7,UBXN4,0.604
RBM15,YWHAG,0.572
RHOG,SPTBN2,0.568
RNF216,YWHAH,0.57
SIPA1L3,WDR1,0.588
SMARCB1,SMARCC1,0.574
SMC1A,STAG2,0.622
TOP2A,TOP2B,0.63
TRIM41,TTC30A,0.61
VRK3,XRCC1,0.596
ANKRD11,TBL1XR1,0.5632
CHD8,KPNA6,0.574
ERCC3,TBR1,0.608
EXOC1,STXBP1,0.59
IFT27,TCF20,0.556
KPNA5,PHF2,0.576
NR3C2,PPM1B,0.59
ACADSB,METTL15,0.606
AGPS,PRRC2A,0.572
AKR1B10,NRXN2,0.586
AP1G1,AP1M1,0.616
BAG6,HSPA6,0.58
BBX,HDAC2,0.58
BCKDK,SBF1,0.604
BCR,FNTB,0.574
BMS1,KPNA2,0.602
BUD13,NCKAP1,0.626
CALR,OAT,0.64
CAPN2,PDCD11,0.576
CDC73,CDK5RAP1,0.6
CDK2AP1,CHD3,0.584
CDK2AP1,CHD4,0.588
CEP170,MRPL45,0.552
CGN,OLA1,0.566
CHD1,KPNA5,0.574
CKAP2,PLOD3,0.616
CKAP5,IDE,0.592
CLPTM1,IPO4,0.62
CNOT10,MAP7D3,0.59
COLGALT1,WDR33,0.576
CPVL,XRCC1,0.604
CRTAP,STX8,0.634
CTNNB1,TJP1,0.57
DCAF7,MRTFA,0.572
DCAF7,TNRC6A,0.56
EEFSEC,KPNA1,0.596
EIF2B4,NUP37,0.592
EIF2B4,ZW10,0.618
ERCC3,KPNA2,0.59
ERCC3,KPNA5,0.596
FBXO3,MRPS5,0.604
GABARAP,MTREX,0.63
GABARAPL2,LACTB,0.626
GID8,RMND5A,0.614
GID8,WDR26,0.612
GLB1,TIAL1,0.634
GRAMD4,MED23,0.648
HDAC1,LEMD2,0.594
HDAC3,PELP1,0.59
KLF10,XPNPEP3,0.604
KPNA1,LEO1,0.592
KPNA1,PDS5B,0.606
KPNA1,RBM15B,0.584
KPNA2,SMC3,0.598
KPNA3,RAD21,0.592
KPNA3,RBM15B,0.582
KPNA5,SUPT6H,0.606
KPNA6,RBM15B,0.584
KPNA6,SUPT6H,0.606
MAEA,RANBP10,0.61
METAP1D,MICU2,0.598
METAP1D,MRPL46,0.606
MOGS,RFX1,0.604
MSI1,TTC19,0.596
NDUFAF3,PRRC2A,0.548
NFKBIL1,SRP19,0.562
NSUN4,YME1L1,0.582
NUP43,SLC27A2,0.648
NUP98,SAAL1,0.58
OBI1,PFDN5,0.562
OLA1,SPTBN2,0.57
PDCD11,WDR6,0.606
PDS5B,RAD21,0.614
PJA1,WDR61,0.584
POC1A,SPTBN1,0.572
PPP1R9A,SARS1,0.578
PRPF4,TNRC6B,0.562
RAE1,UBN2,0.566
RBM15,TCAF1,0.61
RCC1L,YME1L1,0.584
RNF40,WDR11,0.622
RRP9,SMC3,0.586
RUVBL1,RUVBL2,0.618
SAP30L,TNRC18,0.554
SPTBN2,TNPO1,0.58
TIMM8A,TIMM9,0.624
APC,CTNNB1,0.565
ANKRD11,KPNA6,0.558
AP1M1,PRR12,0.552
ASXL3,BAP1,0.558
IDE,PHF2,0.6
NAA15,SHANK3,0.582
UBR1,ZYX,0.628
ACTN1,ACTN4,0.608
ADNP,EIF3I,0.564
AFDN,RHOG,0.558
AKAP8,P4HA1,0.586
AMER1,GLB1,0.58
ANAPC7,USP24,0.596
ANXA1,MPRIP,0.564
ANXA1,SPTBN2,0.558
APC,FNTB,0.556
BCKDK,JPH1,0.57
BEND3,CPVL,0.578
CDC42BPA,IDE,0.586
CDC73,MRPL17,0.564
CEP170,METAP1D,0.552
CEP170,MRPS18A,0.538
CEP170,OLA1,0.556
CLPX,CPVL,0.586
COLGALT1,PRRC2A,0.564
COLGALT1,RNPC3,0.598
CRTC2,RAE1,0.574
CTR9,KPNA3,0.58
DARS2,RBM15,0.594
DCAF7,TNRC6B,0.554
DDB1,PJA1,0.606
DDB1,TSC1,0.594
DDX20,KEAP1,0.574
EEFSEC,IWS1,0.58
EPB41L2,TNPO1,0.586
FBXO3,MDC1,0.556
FYN,SPECC1L,0.564
GABARAP,LACTB,0.62
GABARAP,SPTBN2,0.546
GABARAPL2,LMO7,0.536
GABARAPL2,MYH14,0.578
GID8,MAEA,0.618
GNAI1,SND1,0.576
HBP1,RBBP7,0.606
HDAC3,MYH9,0.572
HEATR3,NF1,0.582
HLA-C,PPIC,0.616
HLA-C,SMOC1,0.576
IDE,TNRC6A,0.584
KDM1A,RAE1,0.604
KLHL7,MED16,0.628
KPNA1,OCIAD1,0.608
KPNA1,ZNF410,0.59
KPNA4,RBM15B,0.574
KPNA5,NXF1,0.582
KPNA6,NXF1,0.582
LMNA,MED16,0.602
LRCH2,XPNPEP3,0.582
MEAK7,PPP1R9A,0.57
METAP1D,OCRL,0.572
METAP1D,RPRD2,0.55
METTL15,MICU2,0.588
MICU1,MTX2,0.608
MICU2,MTX2,0.618
MKLN1,RANBP9,0.596
MRPL50,PPIC,0.624
MYO5A,WDR1,0.584
NCBP1,PLBD2,0.644
NCBP2,SIRT1,0.592
NCOR1,STUB1,0.544
NCOR2,STUB1,0.544
NDE1,WDR1,0.628
NXN,OCLN,0.6
P3H4,SEC16A,0.552
PLEKHA7,RAE1,0.564
PLOD1,TNRC6A,0.572
PLOD3,SCAF1,0.582
POLDIP2,XRCC1,0.566
PPP2CA,PRR14,0.576
RBM15,RRP9,0.576
RNF40,TCAF1,0.602
RNPC3,SPIN1,0.578
SART1,YWHAG,0.56
SKIV2L,YWHAG,0.612
AFG3L2,AP2S1,0.582
AP2S1,CNP,0.64
CAMK2D,RORB,0.6
CCDC88A,GNAI1,0.544
CORO1A,PPP1R9A,0.566
GIGYF1,PRPF4,0.558
GIGYF1,USP39,0.568
MED1,RORB,0.552
NCOA2,RORB,0.542
NCOA3,RORB,0.54
NRIP1,RORB,0.542
NUP155,NUP205,0.612
PPFIA1,PPP2R5D,0.558
RFX3,VPS45,0.584
SKI,SMAD2,0.578
TLK1,TLK2,0.604
ACAA1,PRRC2A,0.546
ACTN1,GABARAP,0.56
AGPS,METTL15,0.596
AKR1B10,SND1,0.572
ANKRD11,TCF25,0.55
AP1B1,PIGT,0.566
ATXN2,METAP1D,0.544
BTRC,ZMYM2,0.554
CAVIN1,RHOG,0.564
CCNL1,KPNA1,0.58
CCNL2,KPNA1,0.58
CDC42BPB,IDE,0.578
CDC73,KPNA4,0.58
CEP131,COPS4,0.556
CEP170,FARS2,0.548
CEP170,HLA-C,0.538
CEP170,MRPL38,0.544
CEP170,NUDT6,0.54
CKAP4,KPNA1,0.574
CLIC1,SHANK3,0.552
CLK2,NCOR2,0.546
CNOT10,YME1L1,0.574
CNOT1,DCAF7,0.556
COA7,DYRK1A,0.566
COQ8A,HLA-C,0.572
CPSF2,GEMIN4,0.618
CTR9,KPNA1,0.57
CYB5R3,NDE1,0.59
CYB5R3,PALM2AKAP2,0.588
DDB1,PRRC2A,0.572
DHX30,RRP9,0.62
EEFSEC,KPNA5,0.578
EEFSEC,KPNA6,0.58
EPB41L2,RHOG,0.56
EPS15L1,RDH14,0.558
FAM117A,RB1,0.592
FKBP5,MCM3AP,0.56
FOXJ3,VPS45,0.588
GABARAP,SUPT16H,0.57
GABARAPL2,SPTBN2,0.548
GLMN,NUP98,0.576
GTF2H1,GTF2H4,0.572
HBP1,RBBP4,0.6
HDAC3,NUP153,0.552
HERC5,MOV10,0.616
IDE,LIG3,0.596
IDE,MPRIP,0.596
IDE,TNRC6B,0.578
IFT57,IFT88,0.584
IFT80,IFT81,0.606
KEAP1,TNRC6B,0.552
KIF21A,TCAIM,0.562
KPNA1,SUPT6H,0.588
KPNA1,VAPA,0.604
KPNA4,STAG2,0.588
KPNA5,SPATA5,0.56
LIG3,MED24,0.588
MED16,MED29,0.638
METTL15,VARS2,0.614
MICU1,NDUFAF3,0.61
MKLN1,RANBP10,0.594
MOGS,PPP2CA,0.642
MRPL46,MRPL55,0.602
MTX2,NRP1,0.59
NCBP1,YWHAG,0.648
NUP107,NUP133,0.598
NXF1,RAE1,0.57
PATZ1,WDR48,0.592
PHKA1,PPFIA3,0.59
PIGT,USP9X,0.604
POC1A,SVIL,0.55
POLDIP2,UBN1,0.558
POMGNT2,TMEM177,0.598
RAI14,WDR61,0.554
RCN1,SIRT5,0.598
RRP9,YTHDC2,0.602
SKIV2L,YWHAH,0.606
SMC1A,SRP19,0.56
TJP1,TNPO1,0.566
CTNNA1,CTNNB1,0.5848
BCL11A,HDAC2,0.554
CRTAP,KMT2E,0.54
EXOSC2,PHF2,0.548
FBXO45,MYT1L,0.536
FKBP5,NR3C2,0.556
MED20,MYT1L,0.532
PPFIA3,PPP2R5D,0.548
ABLIM1,OGDH,0.59
ACOT9,ARHGEF1,0.552
ADGRL2,NDUFA10,0.55
AFG3L2,PDSS1,0.554
AP1B1,AP1G1,0.59
AP1B1,AP2A1,0.588
AP1G1,AP2B1,0.59
AP2A1,AP2B1,0.588
ATP6V1H,CCDC88A,0.538
ATXN2,METTL15,0.538
CAMSAP3,KEAP1,0.554
CCDC51,FARS2,0.584
CCNL2,KPNA6,0.574
CEP131,TTLL12,0.564
CEP170,PDSS1,0.538
CHAF1B,PFDN5,0.604
CKAP5,GABARAP,0.54
CLTA,CLTC,0.556
CNOT10,MCM10,0.568
COA7,MAGED2,0.546
COPS2,MCM10,0.564
CORO1B,PDCD11,0.55
CORO1C,SPECC1L,0.55
CPSF1,ZC3H18,0.596
CRTAP,DNM2,0.548
CRTAP,FOXK1,0.564
CRTAP,MRTFB,0.546
CRTC2,KPNA1,0.566
CTR9,PAF1,0.586
CYB5R3,MYO5B,0.584
DCAF7,GPS2,0.582
DCAF7,IFT172,0.564
DCAF7,LMO7,0.54
DCAF7,NFXL1,0.546
DCAF7,PAIP2,0.622
DDB1,LSM1,0.624
DDX20,GEMIN5,0.596
DDX23,MEN1,0.568
ERCC3,KPNA6,0.572
FBXW11,PDCD11,0.554
GTF2H5,NKTR,0.524
GXYLT1,NDUFA10,0.606
IDE,P4HB,0.606
IDE,SEC16A,0.566
KDM1A,WIZ,0.558
KEAP1,SCAF1,0.55
KEAP1,ZC3H18,0.558
KIF7,TTC26,0.55
KPNA1,NXF1,0.564
KPNA6,SUPT16H,0.552
LIG3,YPEL5,0.568
LRCH3,WDR61,0.562
LSM1,RNF169,0.526
LSM2,ZC3H18,0.52
LSM4,SCAF4,0.532
MAP7D3,WDR48,0.57
MCAT,ZMYM2,0.542
MDC1,STUB1,0.526
METAP1D,PRRC2A,0.532
METAP1D,ZYX,0.556
MICU1,MICU2,0.598
MKLN1,RMND5A,0.598
MRPL40,NDUFA10,0.6
MRPL45,NUP35,0.556
MYH10,YPEL5,0.562
MYO1E,RHOG,0.584
NAP1L4,TSNAX,0.604
NRXN2,TNPO1,0.566
NSUN4,PDSS2,0.616
NUP205,POM121C,0.592
NUP43,USP9X,0.592
NXF1,PLOD3,0.592
OAT,PALM2AKAP2,0.588
PARL,TMLHE,0.604
PHKG2,PPFIA3,0.54
POC1A,RAI14,0.54
PPFIA3,PPP2CA,0.54
PPP4C,PRR14,0.56
RAI14,WDR1,0.568
RBM15,TEX10,0.57
RBM15,VIRMA,0.582
SPTBN1,TNPO1,0.556
WDR48,ZC3H18,0.57
CAMK2G,RORB,0.58
CORO1A,PPP1R9B,0.558
HDAC1,PHF21A,0.554
MKX,TBL1XR1,0.566
MTX2,UBR1,0.62
NCOA1,RORB,0.524
AAAS,SUN2,0.556
ACTL6A,SMARCA4,0.56
ACTN1,GABARAPL2,0.544
AGO2,CCAR2,0.576
AGPS,TRMT61B,0.604
AKR1B10,CACNA2D1,0.618
AKR1B10,CALR,0.6
AP1B1,AP2A2,0.58
AP2A2,AP2B1,0.58
APC,YWHAH,0.532
BMS1,KPNA1,0.562
BMS1,KPNA5,0.556
BMS1,KPNA6,0.564
CEP131,KPNA6,0.54
CLPB,MCAT,0.548
COQ8A,NSUN4,0.584
CTNNBIP1,CTSA,0.636
CTNNBIP1,LEF1,0.53
CTR9,KPNA2,0.554
DCAF1,TRAF7,0.594
DCAF7,DOCK7,0.588
DDB1,LRCH3,0.58
DDB1,PARD3,0.564
DHX57,PUM3,0.556
DNAAF5,NUP98,0.548
DOCK7,MEN1,0.578
DSG2,WDR1,0.554
EEFSEC,NUP153,0.542
EEFSEC,RAD21,0.564
EIF4E2,TNRC6A,0.52
EIF4ENIF1,HLA-C,0.53
EPB41L2,WDR1,0.562
EPS15,GPX8,0.526
FAM117B,YWHAG,0.544
FBXO45,SAMD1,0.542
FNTB,ZC3H4,0.542
GABARAP,SPTBN1,0.524
GABARAPL2,MPRIP,0.512
GABARAPL2,MTREX,0.6
GABARAPL2,TJP1,0.532
GEMIN4,UPF1,0.592
GXYLT1,ZC3H7A,0.568
HDAC2,TNRC18,0.532
HDAC3,LMNA,0.552
HEATR3,ITCH,0.568
ID4,TCF3,0.526
IDE,IWS1,0.584
IDE,NCOR1,0.556
IDE,PDCD11,0.57
IDE,SPECC1,0.578
IFT81,IFT88,0.57
ITPRID2,SARS1,0.542
KIAA1671,NDC1,0.538
LEO1,POLDIP2,0.542
LMO7,MEAK7,0.538
LONP1,NSUN4,0.542
LONP1,PRCP,0.548
MAEA,WDR26,0.572
MCM10,NCKAP1,0.584
MED16,MED20,0.622
MED23,SPRYD3,0.62
MRPL17,PDSS2,0.612
MRPL17,PPIC,0.6
MRPL3,NSUN4,0.6
MRPS2,SMOC1,0.558
MTX2,TRMT61B,0.582
NAA15,RBM10,0.576
NAA15,TLN1,0.554
NCBP1,PDCD7,0.598
NCBP1,PRPF4,0.594
NDUFAF3,NDUFS2,0.602
NRP1,TMLHE,0.552
NUP153,RAE1,0.534
NUP160,NUP85,0.594
NUP205,RAE1,0.616
OPA1,PRCP,0.546
PIGT,SBF1,0.556
PRPF3,TIMM8B,0.534
RAB18,SDF4,0.604
RAE1,SBF1,0.574
RAE1,SUN2,0.548
RAE1,TNRC6B,0.532
RAI14,XPO5,0.586
RAP1GAP,TNPO3,0.586
RCC1L,WARS2,0.608
SART1,SNRNP200,0.592
SMARCC1,SMARCD1,0.54
SMARCC2,SMARCD1,0.5374
BCL11A,HDAC1,0.538
CHAF1B,KIAA0232,0.53
CORO1A,MPRIP,0.54
CRTAP,IRF2BPL,0.54
ID4,TCF4,0.516
MRPL45,UBR1,0.608
MRPS28,UBR1,0.614
MYH9,SLC6A1,0.54
OGT,SETD5,0.554
PAX5,RNH1,0.58
SETD5,STUB1,0.514
AAAS,TMEM209,0.576
ACAA1,EIF4ENIF1,0.534
AGPS,NSUN4,0.574
AGPS,SMARCA4,0.55
AGPS,STIP1,0.58
AHCYL1,PDCD11,0.532
ALDH6A1,MRPL49,0.614
ANKRD11,CLK2,0.524
ANKRD11,CRTAP,0.522
ANKRD11,FHL3,0.516
ANP32E,MOGS,0.604
AP1B1,COA7,0.556
AP1B1,TNRC6B,0.53
AP2B1,TNRC6B,0.53
AP2S1,RNF40,0.51
AP3D1,KPNA1,0.54
ARID4B,HDAC1,0.538
ARL10,NAP1L4,0.574
ASPH,TMEM177,0.546
ATAD3B,CNOT10,0.556
B3GALT6,ELP1,0.59
BEND3,HDAC3,0.548
CALU,PARD3,0.518
CALU,RNF169,0.532
CDC73,CTR9,0.572
CDC73,VARS2,0.586
CDH2,XPO5,0.576
CEP120,TTC26,0.544
CEP131,KPNA1,0.532
CEP131,KPNA5,0.532
CEP170,CTNNB1,0.536
CHD4,ERCC3,0.55
CLTC,FYN,0.542
CNOT10,SLC30A9,0.566
COLGALT1,POM121C,0.542
COQ10B,METTL15,0.588
CPSF1,PDCD7,0.6
CTNNA1,WDR1,0.578
CTR9,KPNA6,0.546
CUX1,NFS1,0.53
CYB5R3,SPTAN1,0.524
DCAF7,NXF1,0.54
DCAF7,USP54,0.522
DDB1,LRCH1,0.572
DDB1,PATL1,0.572
EEFSEC,KPNA2,0.576
FARP2,PRKCI,0.554
FNTB,TROAP,0.546
GABARAP,SARS1,0.598
GEMIN5,PPM1G,0.568
GEMIN5,SART1,0.572
HDAC2,LMNA,0.552
HDAC3,PRPF31,0.558
HIRA,MED16,0.562
HLA-C,METAP1D,0.574
HLA-C,MRPS9,0.558
HLA-C,STIM1,0.526
HSPA6,LEMD2,0.57
ID4,TCF12,0.516
IDE,TBL1XR1,0.59
IMMT,MEAK7,0.552
IMMT,OAT,0.55
IQSEC1,MCAT,0.534
KDM1A,ZNF644,0.548
KPNA1,MAPRE1,0.574
KPNA1,PAF1,0.556
KPNA1,TTLL12,0.572
KPNA3,WDR61,0.568
KPNA4,PAF1,0.556
MAEA,SMAD4,0.556
MED20,MED4,0.566
METAP1D,SIL1,0.552
MRPL17,PRRC2A,0.508
MRPL50,MRPS2,0.588
MRPS23,PPIC,0.57
MRPS2,RPRD2,0.512
NCBP1,TNRC6A,0.542
NCKAP1,RBM10,0.574
NFS1,PLOD1,0.586
PAF1,RRP9,0.564
PARL,PDSS1,0.588
PLOD1,SEC16A,0.542
PMPCA,PRRC2A,0.526
PPIC,SIL1,0.576
PPIC,SLC39A10,0.528
PPM1G,SIRT5,0.568
RAD50,VRK3,0.538
RAI14,TNPO1,0.558
SAAL1,USP9X,0.576
SEL1L,SLC39A11,0.576
SNRPA,YWHAG,0.564
STUB1,UBN2,0.514
UPF1,YWHAG,0.566
USP39,YWHAG,0.574
SMARCC2,SMARCD2,0.5294
TCF20,TTC30A,0.529
BCKDK,FOXP2,0.532
CORO1A,SPECC1L,0.526
CORO1A,SPTBN2,0.522
DDX31,NSD1,0.526
ELAVL3,TTC19,0.546
GIGYF1,LSM6,0.49
HDAC2,TCF20,0.518
LDB1,SSBP4,0.54
MKX,TBL1X,0.546
MRPL50,UBR1,0.61
SAAL1,SPAST,0.544
AAGAB,SDF4,0.574
ACTN4,POC1A,0.524
AHCYL1,RBM6,0.528
AKAP8,AP2M1,0.518
AMPD2,MAGED2,0.57
AMPD2,UBN2,0.536
ATAD3B,GABARAPL2,0.528
B3GALT6,RBM15,0.522
BAG6,YWHAG,0.512
BCR,YWHAH,0.518
CDC73,EXOSC2,0.528
CEP164,DCAF7,0.514
CEP170,WDR48,0.534
CHD4,PLOD1,0.54
CIAO1,KIAA1671,0.514
CLTB,CLTC,0.53
CNOT1,CNOT11,0.522
COA7,MCAT,0.562
COLGALT1,DDX20,0.544
COLGALT1,MRPL50,0.596
COLGALT1,YME1L1,0.546
COQ8A,PPIC,0.542
COQ8B,NARS2,0.552
CPSF1,KEAP1,0.582
CPSF1,LSM2,0.616
CPSF2,TNRC6A,0.52
CRTAP,QRICH1,0.55
CRTAP,REPS1,0.532
CTNNB1,MYH10,0.53
CTR9,KPNA5,0.538
CTR9,YWHAG,0.548
CUX1,FBXO3,0.518
CUX1,MED16,0.542
CYB5R3,MYO18A,0.554
DBN1,GABARAPL2,0.502
DCAF7,XRN1,0.562
DDX23,GEMIN4,0.56
DDX23,SNRNP200,0.57
DDX31,MLYCD,0.536
DYNLT1,LAP3,0.608
EIF3L,EIF3M,0.582
EIF4ENIF1,SARS2,0.532
FLII,PYGL,0.56
FLII,WDR1,0.548
FLNA,P4HB,0.52
FNTA,ZC3H4,0.516
GABARAP,LMO7,0.498
GABARAP,TJP1,0.518
GEMIN5,TNRC6B,0.534
GNG4,TNPO1,0.594
GTF2H3,WDR61,0.588
HDAC2,TRIM27,0.56
HDAC3,RAI14,0.526
HEATR3,PMPCA,0.556
HINT1,SUPT16H,0.536
HLA-C,MRPL46,0.54
HLA-C,NUDT6,0.538
IDE,IGF2R,0.54
IFT81,TTC30A,0.558
IFT88,MOV10,0.576
IST1,XPO7,0.584
KDM1A,ZMYM3,0.538
KIF7,TTC30A,0.528
KPNA2,SND1,0.564
KPNA3,SSX2IP,0.54
KPNA5,NKTR,0.522
LRCH3,XPNPEP3,0.542
MEAK7,SCRIB,0.532
METAP1D,PPP2R5D,0.544
MRPL45,MRPL49,0.568
MRPL45,TNRC6B,0.502
NAA10,TTLL12,0.59
NADK2,PRRC2A,0.512
NCBP1,TNRC6B,0.536
NDUFAF3,RPRD2,0.496
NDUFAF4,NDUFS2,0.582
NFS1,ZYG11B,0.588
NME6,SIL1,0.568
NRP1,PDSS1,0.532
NUP160,SAAL1,0.578
NUP205,NUP35,0.596
P3H3,P4HA1,0.544
PARL,PRCP,0.566
PARP2,SPTAN1,0.524
PDCD11,RAE1,0.522
PDCD11,SAE1,0.524
PELP1,SRP19,0.548
PKP2,TJP1,0.524
PLBD2,SART1,0.546
PLOD3,PRPF3,0.562
POLR1B,SIRT1,0.582
PPP4C,SGO1,0.538
PRPF3,YWHAG,0.526
PRPF4,ZC3H18,0.528
RFC1,ZYG11B,0.54
SCAF1,UPF1,0.538
SIN3A,TTLL12,0.536
SKIV2L,ZC3H4,0.544
SMARCC1,SMARCD2,0.524
TROAP,XPNPEP3,0.54
WDR11,ZMYM4,0.554
WDR61,ZC3H4,0.514
BRMS1,SIN3A,0.534
DYNLT1,PPP1R9B,0.488
GRIN2B,PRKAA1,0.522
HEATR3,LDB1,0.56
KDM1A,PHF21A,0.55
LDB1,SSBP3,0.532
MORF4L1,PHF12,0.516
NUP133,NUP155,0.554
RORB,UBN2,0.502
AGO2,EFTUD2,0.544
AGPS,NARS2,0.55
AP1B1,RNGTT,0.556
AP2B1,P3H4,0.56
AP2B1,RNGTT,0.558
APC,TCF25,0.508
APC,WDR61,0.512
ATAD3B,WDR1,0.55
ATIC,IDH3A,0.596
ATXN2,PRCP,0.516
BEND3,ZNRD2,0.51
CABIN1,PLOD1,0.524
CAMK2D,XRCC1,0.514
CAND1,TEX10,0.56
CARNMT1,IQSEC1,0.518
CCDC32,RDH14,0.57
CCDC8,FNTA,0.528
CCNL1,KPNA5,0.538
CEP164,IDE,0.542
CEP170,COLGALT1,0.52
CEP170,POC1A,0.504
CHD1,CSNK2A2,0.524
CHD3,RBBP7,0.528
CKAP5,PPP2R5D,0.518
COA7,PAXIP1,0.51
COA7,STK3,0.53
COL18A1,MRPL45,0.504
CPSF2,TNRC6B,0.514
CRTAP,GAK,0.52
CSNK2A2,ERCC3,0.544
DCAF7,KIF7,0.524
DDB1,ZC3H4,0.544
DNAJC21,GABARAPL2,0.51
DYRK1A,TP53,0.546
EIF4E2,GEMIN5,0.572
EIF4ENIF1,GLB1,0.536
ERCC3,SMC1A,0.536
FARS2,PRRC2A,0.504
FLNB,WDR1,0.52
FNTA,PARD3,0.508
FNTB,GLCCI1,0.546
FOXJ3,KPNA1,0.536
GABARAPL2,MYH9,0.53
GABARAPL2,MYO1C,0.552
GABARAPL2,SND1,0.55
GEMIN5,PFDN5,0.578
GEMIN5,PLBD2,0.546
GEMIN5,ZC3H18,0.54
GNAI1,NEXN,0.528
HDAC1,SAMD1,0.538
HDAC3,SMC1A,0.53
HDGFL2,WDR61,0.526
HLA-C,PARL,0.53
IDE,MARK2,0.562
IFT57,TTC26,0.546
IPO7,USP9X,0.546
KIF14,TCAIM,0.534
KPNA2,STAG2,0.546
KPNA3,SCAI,0.548
KPNA5,MYH10,0.524
KPNA6,RBM15,0.524
KPNA6,STAG2,0.544
LIMA1,TNPO1,0.548
LSM2,LSM6,0.582
LZTS2,MYCBP,0.498
MAPRE1,TEX10,0.574
MDC1,MED24,0.526
MED15,MED23,0.576
MED24,PHF21A,0.56
METAP1D,PARL,0.538
METAP1D,STIM1,0.518
METAP1D,ZC3H7A,0.518
METTL15,NADK2,0.536
MICU2,MRPS9,0.542
MRPL46,PPIC,0.556
MRPS23,MRPS28,0.552
MTREX,TEX10,0.534
NADK2,TRIM33,0.522
NCBP1,SMN2,0.588
NUDT6,SLC39A10,0.518
PALS1,SH3BGRL2,0.558
PARD3,PRKCI,0.516
PDCD11,TCAF1,0.536
PKP2,PPP1R12A,0.516
POLB,UBN1,0.51
PPP2R5D,PRRC2A,0.508
PRPF31,PRPF6,0.554
PRRC2A,USO1,0.52
RAE1,SRPRA,0.53
RCC1L,ZC3H7A,0.524
RFC4,XRCC1,0.522
SCAF4,SPIN1,0.504
SEC16A,TCF25,0.508
SPECC1L,WDR1,0.532
SPIN1,TNRC6A,0.496
TBL1X,UBR1,0.582
TMOD2,WDR1,0.588
TWF1,WDR1,0.582
ARID1B,COPS4,0.5
ARMC8,SKI,0.538
COLGALT1,GIGYF1,0.524
CORO1A,SPTBN1,0.504
DCAF8,KMT5B,0.524
DYRK1A,KIAA0232,0.504
DYRK1A,PARD3,0.508
ELAVL3,NDUFAB1,0.53
ELP1,KIAA0232,0.528
FHL3,SETD5,0.488
GIGYF1,NCBP1,0.538
HDLBP,SAE1,0.514
HEATR3,TEK,0.518
MRPL40,UBR1,0.59
NDUFAF3,UBR1,0.592
NRXN1,WDR1,0.538
PHF2,RRP9,0.506
PIGT,TBR1,0.528
PPP1R9B,TMOD1,0.508
RFX1,RFX3,0.53
SRPRA,TMX3,0.528
TAOK1,TAOK3,0.542
AAGAB,GPX8,0.542
AAGAB,PGRMC2,0.542
ACAD11,UBR2,0.568
ACBD3,CLPTM1,0.53
AFDN,CACNA2D1,0.53
AFG3L2,METAP1D,0.518
AGO2,SNRNP200,0.552
AGPS,IDH3G,0.566
ANP32B,TTLL12,0.57
ANP32E,CDC73,0.52
ANP32E,RFX1,0.514
ANP32E,SRPRA,0.542
AP1G1,IDE,0.55
AP2A2,CCDC32,0.544
AP2B1,BAP1,0.544
AP2B1,SCAI,0.522
AP2S1,USP9X,0.57
APC,DCAF7,0.5
APC,PRKCI,0.5
